"id","headline","datatype","forebear","timetype","editstatus","maplvllo","maplvlhi","timelvllo","timelvlhi","maptype","st_npoints","geometrytype"
"13886","Persia
Selucid Dynasty","2","14428","3","3","14","18","5","6","2","137","POLYGON"
"18918","Persia
Selucid Dynasty","2","14428","3","3","14","18","5","6","2","131","POLYGON"
"13913","Persia
Selucid Dynasty","2","14428","3","3","14","18","5","6","2","124","POLYGON"
"14002","Rome","2","13964","3","3","14","18","5","6","2","6","POLYGON"
"19052","Rome","2","13964","3","3","14","18","5","6","2","15","POLYGON"
"14483","Rome","2","13964","3","3","14","18","5","6","2","9","POLYGON"
"19104","Rome","2","13964","3","3","14","18","5","6","2","7","POLYGON"
"19085","Rome","2","13964","3","3","14","18","5","6","2","25","POLYGON"
"19098","Rome","2","13964","3","3","14","18","5","6","2","31","POLYGON"
"18944","Rome","2","13964","3","3","14","18","5","6","2","69","POLYGON"
"19043","Rome","2","13964","3","3","14","18","5","6","2","20","POLYGON"
"18941","Rome","2","13964","3","3","14","18","5","6","2","32","POLYGON"
"19089","Rome","2","13964","3","3","14","18","5","6","2","10","POLYGON"
"13964","Rome","2","13964","3","3","14","18","5","7","2","1","POINT"
"14493","Rome","2","13964","3","3","14","18","5","6","2","142","POLYGON"
"14484","Rome","2","13964","3","3","14","18","5","6","2","30","POLYGON"
"19050","Rome","2","13964","3","3","14","18","5","6","2","15","POLYGON"
"14646","Sassanid Dynasty","2","14428","3","3","14","18","5","6","2","1","POINT"
"14645","Selucid Dynasty","2","14428","3","3","14","18","5","6","2","1","POINT"
"19028","Acheans","2","6","3","4","14","18","5","6","2","4","POLYGON"
"19080","Acheans","2","6","3","4","14","18","5","6","2","4","POLYGON"
"18907","Acheans","2","6","3","4","14","18","5","6","2","29","POLYGON"
"18901","Alexander the Great","2","6","3","4","14","18","5","6","2","48","POLYGON"
"19055","Alexander the Great","2","6","3","4","14","18","5","6","2","37","POLYGON"
"19051","Alexander the Great","2","6","3","4","14","18","5","6","2","37","POLYGON"
"19022","Alexander the Great","2","6","3","4","14","18","5","6","2","24","POLYGON"
"18943","Alexander the Great","2","6","3","4","14","18","5","6","2","18","POLYGON"
"18836","Alexander the Great","2","6","3","4","14","18","5","6","2","117","POLYGON"
"18822","Alexander the Great","2","6","3","4","14","18","5","6","2","114","POLYGON"
"18957","Alexander the Great","2","6","3","4","14","18","5","6","2","18","POLYGON"
"18870","Arab Empire","2","14432","3","4","14","18","5","6","2","118","POLYGON"
"19071","Arab Empire","2","14432","3","4","14","18","5","6","2","25","POLYGON"
"18868","Arab Empire","2","14432","3","4","14","18","5","6","2","108","POLYGON"
"18991","Arab Empire","2","14432","3","4","14","18","5","6","2","48","POLYGON"
"18989","Arab Empire","2","14432","3","4","14","18","5","6","2","28","POLYGON"
"18933","Austrailia","3","11344","3","4","14","18","5","6","2","13","POLYGON"
"18812","Austrailia","3","11344","3","4","14","18","5","6","2","123","POLYGON"
