headline,story,birth date,death date,place of birth,tags,imageurl,storyurl
Hamza el Din
Kudsi Erguner
Mickey Hart
Zakir Hussain
Pandit Jasraj
Jolly Boys
Bhimsen Joshi
Juluka
Brij Bhushan Kabra
Kassav'
Salif Keita
Bismillah Khan
Sultan Khan
Vilayat Khan
The Klezmatics
Klezmer Conservatory Band
Kishore Kumar
Lord Shorty
Mahlathini
Mahotella Queens
Miriam Makeba
Prince Nico Mbarga
E.T. Mensah
Mighty Sparrow
Carlos Montoya
Oliver Mtukudzi
Muzsikás
Le Mystère des Voix Bulgares
Youssou N'Dour
Najma
OK Jazz Band
Babatunde Olatunji
Remmy Ongala
Osibisa
Marika Papagika
Rail Band
Alla Rakha
Hossam Ramzy
N. Ravikiran
Cheikha Remitti
Roaring Lion
Salamat & Nazakat Ali Khan
Abdel Gadir Salim
Oumou Sangare
Lakshmi Shankar
Lakshminarayana Shankar
Shivkumar Sharma
Joseph Spence
U. Srinivas
L. Subramaniam
Touré Kunda
Ali Farka Touré
Márkos Vamvakáris
Värttinä
Papa Wemba
Zaiko Langa Langa
